zip,state_name,density
50228,Iowa,13.4
50229,Iowa,8.8000002
50230,Iowa,4.8000002
50232,Iowa,6.1999998
50233,Iowa,10.6
50234,Iowa,7.5999999
50235,Iowa,4
50236,Iowa,17.4
50237,Iowa,21.6
50238,Iowa,3.9000001
50239,Iowa,4.8000002
50240,Iowa,12.4
50242,Iowa,4.0999999
50246,Iowa,6.0999999
50247,Iowa,11.7
50248,Iowa,20.9
50249,Iowa,6.5999999
50250,Iowa,8.8000002
50251,Iowa,12.1
50252,Iowa,11
50254,Iowa,2.5
50256,Iowa,7.1999998
50257,Iowa,9.6000004
50258,Iowa,7.1999998
50261,Iowa,12.9
50262,Iowa,5.4000001
50264,Iowa,2.7
50268,Iowa,8
50271,Iowa,3.5999999
50273,Iowa,15.9
50274,Iowa,3.0999999
50275,Iowa,4
50276,Iowa,12.1
50277,Iowa,4.5999999
50278,Iowa,6.0999999
50319,Iowa,0
50420,Iowa,3.2
50421,Iowa,13
50423,Iowa,8
50424,Iowa,4.6999998
50430,Iowa,3.2
50433,Iowa,2
50434,Iowa,21.4
50435,Iowa,6.8000002
50436,Iowa,16.6
50438,Iowa,12.1
50439,Iowa,3.4000001
50440,Iowa,5.1999998
50441,Iowa,14.6
50444,Iowa,6.3000002
50446,Iowa,5
50447,Iowa,4.1999998
50448,Iowa,4.3000002
50449,Iowa,7.5999999
50450,Iowa,13.8
50451,Iowa,3.3
50452,Iowa,6.3000002
50453,Iowa,5.1999998
50454,Iowa,2.8
50455,Iowa,5.3000002
50456,Iowa,14.5
50457,Iowa,5
50458,Iowa,11
50459,Iowa,8.1000004
50460,Iowa,3.9000001
50461,Iowa,12.6
50464,Iowa,11
50466,Iowa,5.1999998
50468,Iowa,6.3000002
50469,Iowa,6.9000001
50470,Iowa,4.4000001
50471,Iowa,6.3000002
50472,Iowa,7.5999999
50473,Iowa,2.8
50475,Iowa,7.5999999
50476,Iowa,7.9000001
50477,Iowa,5.9000001
50478,Iowa,4
50479,Iowa,4.5999999
50480,Iowa,5.4000001
50482,Iowa,10.4
50483,Iowa,3.9000001
50484,Iowa,3.9000001
50510,Iowa,5.0999999
50511,Iowa,22.200001
50514,Iowa,5.0999999
50515,Iowa,2.9000001
50516,Iowa,11.3
50517,Iowa,5.3000002
50518,Iowa,4.6999998
50519,Iowa,4.4000001
50520,Iowa,2.3
50522,Iowa,4.9000001
50523,Iowa,5.5
50524,Iowa,3.5
50525,Iowa,9.8999996
50527,Iowa,1.6
50528,Iowa,2
50530,Iowa,7.1999998
50531,Iowa,2.5
50532,Iowa,4.8000002
50533,Iowa,16
50535,Iowa,5.5999999
50536,Iowa,12.4
50538,Iowa,6.1999998
50539,Iowa,4.0999999
50540,Iowa,3.7
50541,Iowa,3.7
50542,Iowa,5.4000001
50543,Iowa,7
50544,Iowa,6.8000002
50545,Iowa,2.0999999
50546,Iowa,2.5
50548,Iowa,18.299999
50551,Iowa,2.3
50554,Iowa,7.0999999
50556,Iowa,2.9000001
50557,Iowa,5.8000002
